image_name	things_image_nr	image_category	things_category_nr	face	body	lone_object	human_face	human_body	nh_mammal_face	nh_mammal_body	central_face	central_body	artificial_face	artificial_body	scene	rich_background
acorn_01b	43	acorn	4	0	0	1	0	0	0	0	0	0	0	0	0	0
acorn_02n	44	acorn	4	0	0	0	0	0	0	0	0	0	0	0	0	0
acorn_03s	45	acorn	4	0	0	0	0	0	0	0	0	0	0	0	0	0
acorn_04s	46	acorn	4	0	0	0	0	0	0	0	0	0	0	0	0	0
acorn_05s	47	acorn	4	0	0	0	0	0	0	0	0	0	0	0	0	1
acorn_06s	48	acorn	4	0	0	0	0	0	0	0	0	0	0	0	0	1
airbag_01b	98	airbag	8	0	0	0	0	0	0	0	0	0	0	0	0	1
airbag_02s	99	airbag	8	0	0	0	0	0	0	0	0	0	0	0	0	1
airbag_03s	100	airbag	8	0	0	0	0	0	0	0	0	0	0	0	0	1
airbag_04s	101	airbag	8	0	0	0	0	0	0	0	0	0	0	0	0	1
airbag_05s	102	airbag	8	0	0	0	0	0	0	0	0	0	0	0	0	1
airbag_06s	103	airbag	8	0	0	0	0	0	0	0	0	0	0	0	0	1
aircraft_carrier_01b	127	aircraft_carrier	10	0	0	0	0	0	0	0	0	0	0	0	1	0
aircraft_carrier_02s	128	aircraft_carrier	10	0	0	0	0	0	0	0	0	0	0	0	1	0
aircraft_carrier_03s	129	aircraft_carrier	10	0	0	0	0	0	0	0	0	0	0	0	1	0
aircraft_carrier_04s	130	aircraft_carrier	10	0	0	0	0	0	0	0	0	0	0	0	1	0
aircraft_carrier_05s	131	aircraft_carrier	10	0	0	0	0	0	0	0	0	0	0	0	1	0
aircraft_carrier_06s	132	aircraft_carrier	10	0	0	0	0	0	0	0	0	0	0	0	1	0
airplane_01b	150	airplane	11	0	0	1	0	0	0	0	0	0	0	0	0	0
airplane_02n	151	airplane	11	0	0	0	0	0	0	0	0	0	0	0	1	0
airplane_03n	152	airplane	11	0	0	0	0	0	0	0	0	0	0	0	1	0
airplane_04n	153	airplane	11	0	0	0	0	0	0	0	0	0	0	0	1	0
airplane_05n	154	airplane	11	0	0	0	0	0	0	0	0	0	0	0	1	0
airplane_06n	155	airplane	11	0	0	0	0	0	0	0	0	0	0	0	1	0
alligator_01b	178	alligator	13	1	1	0	0	0	0	0	1	1	0	0	0	1
alligator_02s	179	alligator	13	1	1	0	0	0	0	0	1	1	0	0	0	1
alligator_03n	180	alligator	13	1	1	0	0	0	0	0	1	1	0	0	0	1
alligator_04s	181	alligator	13	1	1	0	0	0	0	0	1	1	0	0	0	1
alligator_05s	182	alligator	13	1	0	0	0	0	0	0	1	0	0	0	0	0
alligator_06s	183	alligator	13	1	1	0	0	0	0	0	1	1	0	0	1	0
aloe_01b	205	aloe	15	0	0	1	0	0	0	0	0	0	0	0	0	0
aloe_02s	206	aloe	15	0	0	0	0	0	0	0	0	0	0	0	0	1
aloe_03n	207	aloe	15	0	0	0	0	0	0	0	0	0	0	0	1	0
aloe_04s	208	aloe	15	0	0	0	0	0	0	0	0	0	0	0	0	1
aloe_05s	209	aloe	15	0	0	0	0	0	0	0	0	0	0	0	1	0
aloe_06s	210	aloe	15	0	0	0	0	0	0	0	0	0	0	0	1	0
altar_01b	232	altar	17	0	0	0	0	0	0	0	0	0	0	0	1	0
altar_02s	233	altar	17	0	0	0	0	0	0	0	0	0	0	0	1	0
altar_03s	234	altar	17	0	0	0	0	0	0	0	0	0	0	0	1	0
altar_04s	235	altar	17	0	0	0	0	0	0	0	0	0	0	0	1	0
altar_05s	236	altar	17	1	1	0	1	1	0	0	0	0	1	1	1	0
altar_06s	237	altar	17	0	0	0	0	0	0	0	0	0	0	0	1	0
aluminum_foil_01b	250	aluminum_foil	18	0	0	1	0	0	0	0	0	0	0	0	0	0
aluminum_foil_02s	251	aluminum_foil	18	0	0	1	0	0	0	0	0	0	0	0	0	0
aluminum_foil_03s	252	aluminum_foil	18	0	0	1	0	0	0	0	0	0	0	0	0	0
aluminum_foil_04s	253	aluminum_foil	18	0	0	1	0	0	0	0	0	0	0	0	0	0
aluminum_foil_05s	254	aluminum_foil	18	0	0	1	0	0	0	0	0	0	0	0	0	0
aluminum_foil_06s	255	aluminum_foil	18	0	0	1	0	0	0	0	0	0	0	0	0	0
anchor_01b	306	anchor	22	0	0	0	0	0	0	0	0	0	0	0	1	0
anchor_02s	307	anchor	22	0	0	0	0	0	0	0	0	0	0	0	1	0
anchor_03n	308	anchor	22	0	0	0	0	0	0	0	0	0	0	0	1	0
anchor_04s	309	anchor	22	0	0	0	0	0	0	0	0	0	0	0	1	0
anchor_05s	310	anchor	22	0	0	0	0	0	0	0	0	0	0	0	1	0
anchor_06s	311	anchor	22	1	1	0	1	1	0	0	0	0	0	0	1	0
anklet_01b	332	anklet	24	0	1	0	0	1	0	0	0	1	0	0	0	0
anklet_02s	333	anklet	24	0	1	0	0	1	0	0	0	1	0	0	0	1
anklet_03s	334	anklet	24	0	1	0	0	1	0	0	0	1	0	0	0	0
anklet_04s	335	anklet	24	0	1	0	0	1	0	0	0	1	0	0	0	0
anklet_05s	336	anklet	24	0	1	0	0	1	0	0	0	1	0	0	0	0
anklet_06s	337	anklet	24	0	1	0	0	1	0	0	0	1	0	0	0	0
ant_01b	344	ant	25	0	1	1	0	0	0	0	0	1	0	0	0	0
ant_02s	345	ant	25	1	1	0	0	0	0	0	1	1	0	0	0	1
ant_03s	346	ant	25	0	1	0	0	0	0	0	0	1	0	0	0	1
ant_04s	347	ant	25	1	1	1	0	0	0	0	1	1	0	0	0	0
ant_05s	348	ant	25	1	1	0	0	0	0	0	1	1	0	0	0	0
ant_06s	349	ant	25	0	1	0	0	0	0	0	0	1	0	0	0	1
anteater_01b	356	anteater	26	1	1	0	0	0	1	1	1	1	0	0	0	1
anteater_02n	357	anteater	26	1	1	0	0	0	1	1	1	1	0	0	0	1
anteater_03s	358	anteater	26	1	1	0	0	0	1	1	1	1	0	0	0	1
anteater_04s	359	anteater	26	1	1	0	0	0	1	1	1	1	0	0	0	1
anteater_05s	360	anteater	26	1	1	0	0	0	1	1	1	1	0	0	0	1
anteater_06s	361	anteater	26	1	1	0	0	0	1	1	1	1	0	0	0	1
antelope_01b	368	antelope	27	1	1	0	0	0	1	1	1	1	0	0	0	1
antelope_02n	369	antelope	27	1	1	0	0	0	1	1	1	1	0	0	1	0
antelope_03n	370	antelope	27	1	1	0	0	0	1	1	1	1	0	0	1	0
antelope_04n	371	antelope	27	1	1	0	0	0	1	1	1	1	0	0	0	1
antelope_05n	372	antelope	27	0	1	0	0	0	0	1	0	1	0	0	1	0
antelope_06n	373	antelope	27	1	1	0	0	0	1	1	1	1	0	0	0	1
antenna_01b	380	antenna	28	0	0	0	0	0	0	0	0	0	0	0	0	1
antenna_02s	381	antenna	28	0	0	0	0	0	0	0	0	0	0	0	0	1
antenna_03n	382	antenna	28	0	0	1	0	0	0	0	0	0	0	0	0	0
antenna_04n	383	antenna	28	0	0	0	0	0	0	0	0	0	0	0	0	1
antenna_05s	384	antenna	28	0	0	0	0	0	0	0	0	0	0	0	0	1
antenna_06s	385	antenna	28	0	0	1	0	0	0	0	0	0	0	0	0	0
anvil_01b	392	anvil	29	0	0	0	0	0	0	0	0	0	0	0	0	1
anvil_02s	393	anvil	29	0	0	0	0	0	0	0	0	0	0	0	0	1
anvil_03s	394	anvil	29	0	0	0	0	0	0	0	0	0	0	0	0	1
anvil_04s	395	anvil	29	0	0	1	0	0	0	0	0	0	0	0	0	0
anvil_05s	396	anvil	29	0	0	0	0	0	0	0	0	0	0	0	0	1
anvil_06s	397	anvil	29	0	0	0	0	0	0	0	0	0	0	0	0	1
apple_01b	434	apple	31	0	0	1	0	0	0	0	0	0	0	0	0	0
apple_02s	435	apple	31	0	0	0	0	0	0	0	0	0	0	0	0	1
apple_03s	436	apple	31	0	0	0	0	0	0	0	0	0	0	0	0	1
apple_04s	437	apple	31	0	0	0	0	0	0	0	0	0	0	0	0	1
apple_05s	438	apple	31	0	0	0	0	0	0	0	0	0	0	0	0	0
apple_06s	439	apple	31	0	0	0	0	0	0	0	0	0	0	0	0	1
applesauce_01b	458	applesauce	33	0	0	1	0	0	0	0	0	0	0	0	0	0
applesauce_02s	459	applesauce	33	0	0	0	0	0	0	0	0	0	0	0	0	0
applesauce_03s	460	applesauce	33	0	0	0	0	0	0	0	0	0	0	0	0	0
applesauce_04s	461	applesauce	33	0	0	0	0	0	0	0	0	0	0	0	0	1
applesauce_05s	462	applesauce	33	0	0	1	0	0	0	0	0	0	0	0	0	0
applesauce_06s	463	applesauce	33	0	0	0	0	0	0	0	0	0	0	0	0	0
artichoke_01b	553	artichoke	40	0	0	0	0	0	0	0	0	0	0	0	0	0
artichoke_02s	554	artichoke	40	0	0	1	0	0	0	0	0	0	0	0	0	0
artichoke_03n	555	artichoke	40	0	0	0	0	0	0	0	0	0	0	0	0	0
artichoke_04s	556	artichoke	40	0	0	1	0	0	0	0	0	0	0	0	0	0
artichoke_05n	557	artichoke	40	0	0	0	0	0	0	0	0	0	0	0	0	0
artichoke_06s	558	artichoke	40	0	0	1	0	0	0	0	0	0	0	0	0	0
ashtray_01s	578	ashtray	42	0	0	0	0	0	0	0	0	0	0	0	0	0
ashtray_02s	579	ashtray	42	0	0	1	0	0	0	0	0	0	0	0	0	0
ashtray_03n	580	ashtray	42	0	0	1	0	0	0	0	0	0	0	0	0	0
ashtray_04s	581	ashtray	42	0	0	1	0	0	0	0	0	0	0	0	0	0
ashtray_05s	582	ashtray	42	0	0	1	0	0	0	0	0	0	0	0	0	0
ashtray_06s	583	ashtray	42	0	0	0	0	0	0	0	0	0	0	0	0	0
asparagus_01b	592	asparagus	43	0	0	0	0	0	0	0	0	0	0	0	0	0
asparagus_02n	593	asparagus	43	0	0	1	0	0	0	0	0	0	0	0	0	0
